"Common Name","Botanical Name","State","County","Site","Site Latitude","Site Longitude","Location comments","Tree name","Tree id","Measurement number","Latitude","Longitude","Elevation","Ownership type","Height (ft)","Height measurement method","Girth (ft)","Girth (in)","Crown spread (ft)","Tree comments","Measurer(s)","Measured","Trip report url","Photos available"
"Norway Spruce","Picea abies","Podlaskie Voivodeship","Hajnówka","Bialowieza National Park","","","UNESCO  WORLD HERITAGE SITE In Poland and Bekarus. Only trees in Poland were measured, Contains  350,000 Acres plus 412,000 acre buffer zone with about 69 percent of the area is n Belarus.","","283479","1","","","","Public - federal","154.2'","Clinometer/laser rangefinder/sine","14.5'","174''","","","Jeroen Philippona, Leo Goudzwaand, Tomasz Niechada","2011-04-27","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D197%26t%3D2531%26sid%3D4e22a65d13716d5dee1fa9a69bb866ae","N"
"Norway Spruce","Picea abies","Podlaskie Voivodeship","Hajnówka","Bialowieza National Park","","","UNESCO  WORLD HERITAGE SITE In Poland and Bekarus. Only trees in Poland were measured, Contains  350,000 Acres plus 412,000 acre buffer zone with about 69 percent of the area is n Belarus.","","283480","1","","","","Public - federal","155.5'","Clinometer/laser rangefinder/sine","12.3'","147''","","","Jeroen Philippona, Leo Goudzwaand, Tomasz Niechada","2011-04-27","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D197%26t%3D2531%26sid%3D4e22a65d13716d5dee1fa9a69bb866ae","N"
"Norway Spruce","Picea abies","Podlaskie Voivodeship","Hajnówka","Bialowieza National Park","","","UNESCO  WORLD HERITAGE SITE In Poland and Bekarus. Only trees in Poland were measured, Contains  350,000 Acres plus 412,000 acre buffer zone with about 69 percent of the area is n Belarus.","","283478","1","","","","Public - federal","164.7'","Clinometer/laser rangefinder/sine","13.4'","161''","","","Jeroen Philippona, Leo Goudzwaand, Tomasz Niechada","2011-04-27","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D197%26t%3D2531%26sid%3D4e22a65d13716d5dee1fa9a69bb866ae","N"
"Norway Spruce","Picea abies","Lazio","Città Metropolitana Di Roma","Italian Single Tree Sites","46 32.541","011 37.013","","","286424","1","46 32.541","011 37.013","","Public-Private","86.8'","Clinometer/laser rangefinder/sine","6.4'","77''","","Measured by T. Sharp 9/10/2017 in Alpe Suissi, Bolzano, 
South Tyrol Province","Turner Sharp","2010-01-01","","N"
"Norway Spruce","Picea abies","Massachusetts","Franklin","Buckland State Forest","42 34.673","-072 45.108","","","250177","2","42 34.673","-072 45.108","","Public - state","150.3'","Clinometer/laser rangefinder/sine","","","","","John Eichholz, John Eichholz","2012-03-20","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D86%26t%3D1525%26sid%3Df4a6e4470aee0238cfd4fb23a06e6032","N"
"Norway Spruce","Picea abies","Massachusetts","Franklin","Howland Cemetery","","","","","235832","1","","","","Private","106.1'","Clinometer/laser rangefinder/sine","","","","","Jeff Lacoy","2009-01-28","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fmass%2Fhowland_cemetery_pines_conway_ma.htm","N"
"Norway Spruce","Picea abies","Massachusetts","Franklin","Howland Cemetery","","","","","235833","1","","","","Private","114.2'","Clinometer/laser rangefinder/sine","","","","","Jeff Lacoy","2009-01-28","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fmass%2Fhowland_cemetery_pines_conway_ma.htm","N"
"Norway Spruce","Picea abies","Massachusetts","Franklin","Shelburne Falls Area","","","","","235558","1","","","","Public-Private","115.8'","Clinometer/laser rangefinder/sine","7.0'","84''","","","John Eichholz","2004-11-05","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fmass%2Fshelburne04.htm","N"
"Norway Spruce","Picea abies","North Carolina","Buncombe","Coleman Boundary/Douglas Falls","","","","","227831","1","","","","Public - national","117.8'","Clinometer/laser rangefinder/sine","7.4'","89''","","","James Parton","2008-05-13","http%3A%2F%2Fnativetreesociety.org%2Ffieldtrips%2Fnorth_carolina%2Fcoleman%2Fcoleman_boundary_and_douglas_fal.htm","N"
"Norway Spruce","Picea abies","North Carolina","Buncombe","VA Medical Hospital, Oteen, NC","","","Also see:
http://nativetreesociety.org/fieldtrips/north_carolina/20090104-norwayspruce/norway_spruce_nc.htm","","227781","1","","","","Public - national","","Clinometer/laser rangefinder/sine","6.8'","82''","","","James Parton","2007-12-09","http%3A%2F%2Fnativetreesociety.org%2Ffieldtrips%2Fnorth_carolina%2Fva_hospital%2Fva_hospital_trees.htm","N"
"Norway Spruce","Picea abies","North Carolina","Buncombe","VA Medical Hospital, Oteen, NC","","","Also see:
http://nativetreesociety.org/fieldtrips/north_carolina/20090104-norwayspruce/norway_spruce_nc.htm","","227790","1","","","","Public - national","","Clinometer/laser rangefinder/sine","7.5'","90''","","","James Parton","2007-12-09","http%3A%2F%2Fnativetreesociety.org%2Ffieldtrips%2Fnorth_carolina%2Fva_hospital%2Fva_hospital_trees.htm","N"
"Norway Spruce","Picea abies","North Carolina","Buncombe","VA Medical Hospital, Oteen, NC","","","Also see:
http://nativetreesociety.org/fieldtrips/north_carolina/20090104-norwayspruce/norway_spruce_nc.htm","","227799","1","","","","Public - national","87.6'","Clinometer/laser rangefinder/sine","","","","","James Parton","2007-12-09","http%3A%2F%2Fnativetreesociety.org%2Ffieldtrips%2Fnorth_carolina%2Fva_hospital%2Fva_hospital_trees.htm","N"
"Norway Spruce","Picea abies","North Carolina","Buncombe","VA Medical Hospital, Oteen, NC","","","Also see:
http://nativetreesociety.org/fieldtrips/north_carolina/20090104-norwayspruce/norway_spruce_nc.htm","","227792","1","","","","Public - national","88.5'","Clinometer/laser rangefinder/sine","11.6'","139''","","","James Parton","2007-12-09","http%3A%2F%2Fnativetreesociety.org%2Ffieldtrips%2Fnorth_carolina%2Fva_hospital%2Fva_hospital_trees.htm","N"
"Norway Spruce","Picea abies","North Carolina","Buncombe","VA Medical Hospital, Oteen, NC","","","Also see:
http://nativetreesociety.org/fieldtrips/north_carolina/20090104-norwayspruce/norway_spruce_nc.htm","","227798","1","","","","Public - national","89.9'","Clinometer/laser rangefinder/sine","","","","","James Parton","2007-12-09","http%3A%2F%2Fnativetreesociety.org%2Ffieldtrips%2Fnorth_carolina%2Fva_hospital%2Fva_hospital_trees.htm","N"
"Norway Spruce","Picea abies","North Carolina","Buncombe","VA Medical Hospital, Oteen, NC","","","Also see:
http://nativetreesociety.org/fieldtrips/north_carolina/20090104-norwayspruce/norway_spruce_nc.htm","","227800","1","","","","Public - national","91.1'","Clinometer/laser rangefinder/sine","","","","","James Parton","2007-12-09","http%3A%2F%2Fnativetreesociety.org%2Ffieldtrips%2Fnorth_carolina%2Fva_hospital%2Fva_hospital_trees.htm","N"
"Norway Spruce","Picea abies","North Carolina","Buncombe","VA Medical Hospital, Oteen, NC","","","Also see:
http://nativetreesociety.org/fieldtrips/north_carolina/20090104-norwayspruce/norway_spruce_nc.htm","","227796","1","","","","Public - national","104.0'","Clinometer/laser rangefinder/sine","","","","","James Parton","2007-12-09","http%3A%2F%2Fnativetreesociety.org%2Ffieldtrips%2Fnorth_carolina%2Fva_hospital%2Fva_hospital_trees.htm","N"
"Norway Spruce","Picea abies","North Carolina","Buncombe","VA Medical Hospital, Oteen, NC","","","Also see:
http://nativetreesociety.org/fieldtrips/north_carolina/20090104-norwayspruce/norway_spruce_nc.htm","","227797","1","","","","Public - national","104.0'","Clinometer/laser rangefinder/sine","","","","","James Parton","2007-12-09","http%3A%2F%2Fnativetreesociety.org%2Ffieldtrips%2Fnorth_carolina%2Fva_hospital%2Fva_hospital_trees.htm","N"
"Norway Spruce","Picea abies","North Carolina","Henderson","Ge Lighting Systems","","","","","243547","1","","","","Private","","Clinometer/laser rangefinder/sine","8.8'","106''","","","James Parton","2009-01-04","http%3A%2F%2Fnativetreesociety.org%2Ffieldtrips%2Fnorth_carolina%2F20090104-norwayspruce%2Fnorway_spruce_nc.htm","N"
"Norway Spruce","Picea abies","North Carolina","Henderson","Ge Lighting Systems","","","","","243544","1","","","","Private","62.7'","Clinometer/laser rangefinder/sine","7.3'","88''","","","James Parton","2009-01-04","http%3A%2F%2Fnativetreesociety.org%2Ffieldtrips%2Fnorth_carolina%2F20090104-norwayspruce%2Fnorway_spruce_nc.htm","N"
"Norway Spruce","Picea abies","North Carolina","Henderson","Ge Lighting Systems","","","","","243543","1","","","","Private","81.7'","Clinometer/laser rangefinder/sine","8.2'","98''","","","James Parton","2009-01-04","http%3A%2F%2Fnativetreesociety.org%2Ffieldtrips%2Fnorth_carolina%2F20090104-norwayspruce%2Fnorway_spruce_nc.htm","N"
"Norway Spruce","Picea abies","North Carolina","Henderson","Ge Lighting Systems","","","","","243541","1","","","","Private","88.2'","Clinometer/laser rangefinder/sine","5.7'","68''","","","James Parton","2009-01-04","http%3A%2F%2Fnativetreesociety.org%2Ffieldtrips%2Fnorth_carolina%2F20090104-norwayspruce%2Fnorway_spruce_nc.htm","N"
"Norway Spruce","Picea abies","North Carolina","Henderson","Ge Lighting Systems","","","","","243542","1","","","","Private","90.1'","Clinometer/laser rangefinder/sine","6.3'","76''","","","James Parton","2009-01-04","http%3A%2F%2Fnativetreesociety.org%2Ffieldtrips%2Fnorth_carolina%2F20090104-norwayspruce%2Fnorway_spruce_nc.htm","N"
"Norway Spruce","Picea abies","North Carolina","Henderson","Ge Lighting Systems","","","","","243546","1","","","","Private","94.7'","Clinometer/laser rangefinder/sine","6.5'","78''","","","James Parton","2009-01-04","http%3A%2F%2Fnativetreesociety.org%2Ffieldtrips%2Fnorth_carolina%2F20090104-norwayspruce%2Fnorway_spruce_nc.htm","N"
